"","...1","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"159",1,"CFAA15","400_28",2,447,28,"T0","F","PAST","A","T0","T0","AA_F",12.00066667,"T0","pro",0.266,0.299352007887191,0.234192143309045,0.363128332790574
"160",2,"CFAB19","400_28",2,447,28,"T0","F","PAST","B","T0","T0","AB_F",11.39933333,"T0","pro",0.175,0.299352007887191,0.234192143309045,0.363128332790574
"161",3,"CFAC15","400_28",2,447,28,"T0","F","PAST","C","T0","T0","AC_F",10.686,"T0","pro",0.316,0.299352007887191,0.234192143309045,0.363128332790574
"162",4,"CFAD11","400_28",2,447,28,"T0","F","PAST","D","T0","T0","AD_F",10.54933333,"T0","pro",0.336,0.299352007887191,0.234192143309045,0.363128332790574
"163",5,"CFAD11","400_28",2,447,28,"T0","F","PAST","D","T0","T0","AD_F",10.54933333,"T0","pro",0.336,0.299352007887191,0.234192143309045,0.363128332790574
"164",6,"CFAE9","400_28",2,447,28,"T0","F","PAST","E","T0","T0","AE_F",14.14233333,"T0","pro",0.292,0.299352007887191,0.234192143309045,0.363128332790574
"165",7,"CFAE9","400_28",2,447,28,"T0","F","PAST","E","T0","T0","AE_F",14.14233333,"T0","pro",0.292,0.299352007887191,0.234192143309045,0.363128332790574
"166",8,"CFAF11","400_28",2,447,28,"T0","F","PAST","F","T0","T0","AF_F",6.160666667,"T0","pro",0.365,0.299352007887191,0.234192143309045,0.363128332790574
"167",9,"CFPB8","400_28",2,447,28,"T0","F","PSTR","B","T0","T0","PB_F",7.280333333,"T0","pro",0.137,0.357738413384061,0.270654517700398,0.441312990100043
"168",10,"CFPE13","400_28",2,447,28,"T0","F","PSTR","E","T0","T0","PE_F",8.785333333,"T0","pro",0.389,0.357738413384061,0.270654517700398,0.441312990100043
"169",11,"CFSA9","400_28",2,447,28,"T0","F","SSID","A","T0","T0","SA_F",8.170666667,"T0","pro",0.398,0.523872650083894,0.448184663397059,0.597714459684838
"170",12,"CFSB9","400_28",2,447,28,"T0","F","SSID","B","T0","T0","SB_F",11.544,"T0","pro",0.525,0.523872650083894,0.448184663397059,0.597714459684838
"171",13,"CFSC11","400_28",2,447,28,"T0","F","SSID","C","T0","T0","SC_F",9.465666667,"T0","pro",0.669,0.523872650083894,0.448184663397059,0.597714459684838
"172",14,"CFSD12","400_28",2,447,28,"T0","F","SSID","D","T0","T0","SD_F",9.394333333,"T0","pro",0.472,0.523872650083894,0.448184663397059,0.597714459684838
"173",15,"CFSE9","400_28",2,447,28,"T0","F","SSID","E","T0","T0","SE_F",9.466666667,"T0","pro",0.335,0.523872650083894,0.448184663397059,0.597714459684838
"174",16,"CNAA13","400_28",2,447,28,"T0","N","PAST","A","T0","T0","AA_N",7.16,"T0","pro",0.358,0.299352007887191,0.234192143309045,0.363128332790574
"175",17,"CNAB9","400_28",2,447,28,"T0","N","PAST","B","T0","T0","AB_N",9.5,"T0","pro",0.281,0.299352007887191,0.234192143309045,0.363128332790574
"176",18,"CNAC9","400_28",2,447,28,"T0","N","PAST","C","T0","T0","AC_N",9.716333333,"T0","pro",0.27,0.299352007887191,0.234192143309045,0.363128332790574
"177",19,"CNAD12","400_28",2,447,28,"T0","N","PAST","D","T0","T0","AD_N",10.35566667,"T0","pro",0.117,0.299352007887191,0.234192143309045,0.363128332790574
"178",20,"CNAE9","400_28",2,447,28,"T0","N","PAST","E","T0","T0","AE_N",9.664,"T0","pro",0.44,0.299352007887191,0.234192143309045,0.363128332790574
"179",21,"CNAF9","400_28",2,447,28,"T0","N","PAST","F","T0","T0","AF_N",10.11366667,"T0","pro",0.358,0.299352007887191,0.234192143309045,0.363128332790574
"180",22,"CNPA9","400_28",2,447,28,"T0","N","PSTR","A","T0","T0","PA_N",10.44766667,"T0","pro",0.14,0.357738413384061,0.270654517700398,0.441312990100043
"181",23,"CNPB9","400_28",2,447,28,"T0","N","PSTR","B","T0","T0","PB_N",11.17033333,"T0","pro",0.47,0.357738413384061,0.270654517700398,0.441312990100043
"182",24,"CNPC10","400_28",2,447,28,"T0","N","PSTR","C","T0","T0","PC_N",10.55266667,"T0","pro",0.32,0.357738413384061,0.270654517700398,0.441312990100043
"183",25,"CNPD9","400_28",2,447,28,"T0","N","PSTR","D","T0","T0","PD_N",7.814333333,"T0","pro",0.501,0.357738413384061,0.270654517700398,0.441312990100043
"184",26,"CNPE10","400_28",2,447,28,"T0","N","PSTR","E","T0","T0","PE_N",10.709,"T0","pro",0.479,0.357738413384061,0.270654517700398,0.441312990100043
"185",27,"CNPF15","400_28",2,447,28,"T0","N","PSTR","F","T0","T0","PF_N",9.076,"T0","pro",0.427,0.357738413384061,0.270654517700398,0.441312990100043
"186",28,"CNSB15","400_28",2,447,28,"T0","N","SSID","B","T0","T0","SB_N",10.22766667,"T0","pro",0.693,0.523872650083894,0.448184663397059,0.597714459684838
"187",29,"CNSC9","400_28",2,447,28,"T0","N","SSID","C","T0","T0","SC_N",11.61133333,"T0","pro",0.512,0.523872650083894,0.448184663397059,0.597714459684838
"188",30,"CNSD10","400_28",2,447,28,"T0","N","SSID","D","T0","T0","SD_N",11.04566667,"T0","pro",0.545,0.523872650083894,0.448184663397059,0.597714459684838
"189",31,"CNSE9","400_28",2,447,28,"T0","N","SSID","E","T0","T0","SE_N",10.54866667,"T0","pro",0.336,0.523872650083894,0.448184663397059,0.597714459684838
"190",32,"CNSF22","400_28",2,447,28,"T0","N","SSID","F","T0","T0","SF_N",10.542,"T0","pro",0.743,0.523872650083894,0.448184663397059,0.597714459684838
